date,conc_silica,feed_iron,feed_silica,starch_flow,amina_flow,pulp_flow,pulp_ph,pulp_density,air_col1,air_col2,air_col3,air_col4,air_col5,air_col6,air_col7,level_col1,level_col2,level_col3,level_col4,level_col5,level_col6,level_col7,conc_iron
2017-03-29 12:00:00,1.36,60.18,9.34,2044.99,349.911,405.625,9.74604,1.6496495455,200.393,195.734,201.826,295.096,306.4,250.601,251.002,555.2644666667,552.2555655738,614.9847142857,428.43,413.662,447.887,464.869,66.44
2017-03-29 13:00:00,1.43,60.18,9.34,2510.36,306.635,402.303,9.63786,1.5245120388,200.165,194.286,201.929,295.096,306.4,250.194,250.188,851.772761194,809.8638636364,881.30725,447.543,421.279,446.697,413.322,66.57
2017-03-29 14:00:00,1.33,60.18,9.34,2138.23,435.199,401.953,9.6132,1.59494,199.54,197.436,198.605,295.096,306.4,250.46,250.488,850.5106935484,774.2668697987,886.773,470.638,455.341,457.393,456.48,66.64
2017-03-29 15:00:00,1.27,60.18,9.34,458.079,476.878,400.173,9.75149,1.63844,199.951,191.456,199.265,295.096,306.4,247.809,249.582,858.0522246521,778.3430845638,883.7771818182,438.033,446.859,423.184,483.157,66.41
2017-03-29 16:00:00,5.5,59.54,9.56,145.3496315789,252.088,399.484,9.96978,1.5210796891,199.072,182.43,201.251,295.096,306.4,250.488,250.76,853.7451073559,782.4192993289,883.7158,435.285,434.663,452.469,436.865,63.63
2017-03-29 17:00:00,1.64,59.54,9.56,461.1976148148,421.216,394.962,9.54853,1.57168,199.44,196.33,198.925,295.096,306.4,250.269,249.704,849.4379900596,786.495514094,886.155,451.355,455.544,452.68,433.127,66.19
2017-03-29 18:00:00,1.46,59.54,9.56,1918.97,439.573,397.855,9.4651,1.59947,198.677,195.169,200.79,295.096,306.4,249.663,251.416,856.1070131579,821.4155881684,882.91321875,243.775,447.353,445.601,441.301,66.26
2017-03-29 19:00:00,1.69,59.54,9.56,2110.87,460.845,407.431,9.67227,1.63288,198.746,195.337,198.801,295.096,306.4,249.894,252.963,855.9441842105,819.4556564278,871.19,358.943,445.327,430.84,443.214,66.28
2017-03-29 20:00:00,1.81,59.54,9.56,1941.02,509.822,404.409,9.36692,1.68662,200.391,194.903,198.633,295.096,306.4,250.269,251.076,855.7813552632,817.4957246871,881.2668181818,526.461,589.125,553.484,509.954,64.13
2017-03-29 21:00:00,1.71,59.54,9.56,2434.83,521.567,399.388,9.42729,1.71028,200.171,193.743,202.115,295.096,306.4,249.965,250.286,855.6185263158,815.5357929465,885.0550333333,674.4716,630.235,548.63,545.015,65.88
